x0,y0,name,elevation,inv_ele,max_depth,open,InitDepth,SurDepth,Aponded,routing
12710528.1241,2549475.498,SMH4029097,43.73,38.86,4.87,1,0,0,1,1
12710515.9938,2550216.2645,SMH4028639,20.4,16.8,3.6,1,0,0,1,1
12710514.1212,2550220.6705,SMH4028640,20.36,16.76,3.6,1,0,0,1,1
12710517.493,2550159.2641,SMH4028641,21.56,17.96,3.6,1,0,0,1,1
12710537.4908,2550172.4824,SMH4028642,21.59,17.82,3.77,1,0,0,1,1
12710536.9536,2550175.7407,SMH4028643,21.61,17.89,3.72,1,0,0,1,1
12710495.7027,2550208.3677,SMH4028645,21.3,17.7,3.6,1,0,0,1,1
12710475.2287,2550201.3821,SMH4028646,20.68,17.08,3.6,1,0,0,1,1
12710441.3723,2550184.3374,SMH4028647,20.14,16.54,3.6,1,0,0,1,1
12710407.1569,2550167.2977,SMH4028648,19.54,15.94,3.6,1,0,0,1,1
12710474.6813,2550134.5487,SMH4028652,21.69,18.09,3.6,1,0,0,1,1
12710467.8135,2550142.1118,SMH4028653,21.172,17.572,3.6,1,0,0,1,1
12710423.8912,2550119.9693,SMH4028654,19.42,15.08,4.34,1,0,0,1,1
12710607.465,2549929.9981,SMH4028657,36.82,33.22,3.6,1,0,0,1,1
12710590.149,2549913.5192,SMH4028658,36.56,32.96,3.6,1,0,0,1,1
12710469.0693,2550057.5896,SMH4028699,22.5,18.9,3.6,1,0,0,1,1
12710123.8709,2549533.081,SMH4028978,41.0,37.4,3.6,1,0,0,1,1
12710115.3117,2549537.4491,SMH4028979,40.79,37.16,3.63,1,0,0,1,1
12710073.9244,2549558.5392,SMH4028980,38.16,34.52,3.64,1,0,0,1,1
12710030.6534,2549582.5449,SMH4028982,35.21,31.54,3.67,1,0,0,1,1
12709987.1109,2549605.1849,SMH4028983,33.75,30.15,3.6,1,0,0,1,1
12709984.7575,2549601.5097,SMH4028984,33.29,29.69,3.6,1,0,0,1,1
12710007.7427,2549542.8875,SMH4028986,29.63,26.03,3.6,1,0,0,1,1
12710006.2928,2549528.0816,SMH4028987,28.77,25.17,3.6,1,0,0,1,1
12710002.3501,2549495.8171,SMH4028988,26.47,22.87,3.6,1,0,0,1,1
12709999.5696,2549446.9426,SMH4028990,22.69,19.08,3.61,1,0,0,1,1
12710306.9913,2549621.5249,SMH4029107,19.95,16.35,3.6,1,0,0,1,1
12710300.1538,2549624.4544,SMH4029108,19.98,16.2,3.78,1,0,0,1,1
12710290.7177,2549619.8429,SMH4029109,19.96,16.17,3.79,1,0,0,1,1
12710292.1104,2549628.0857,SMH4029111,19.88,16.28,3.6,1,0,0,1,1
12710315.8595,2549617.5002,SMH4029106,22.37,16.63,5.74,1,0,0,1,1
12710651.7426,2549820.8409,SMH4028750,39.72,36.12,3.6,1,0,0,1,1
12710840.7983,2549263.3716,SMH4029158,64.66,60.98,3.68,1,0,0,1,1
12710577.5046,2549521.8152,SMH4029123,38.57,34.97,3.6,1,0,0,1,1
12710545.3899,2549557.4318,SMH4029125,35.34,31.74,3.6,1,0,0,1,1
12710516.9986,2549579.3778,SMH4029126,32.3,28.7,3.6,1,0,0,1,1
12710474.038,2549599.6816,SMH4029127,28.38,24.78,3.6,1,0,0,1,1
12710638.7782,2549852.3554,SMH4028763,38.53,34.93,3.6,1,0,0,1,1
12710648.502,2549838.228,SMH4028764,38.23,34.63,3.6,1,0,0,1,1
12710785.7142,2549681.7408,SMH4028765,63.08,59.48,3.6,1,0,0,1,1
12710768.4294,2549741.509,SMH4028766,57.39,53.79,3.6,1,0,0,1,1
12710746.8223,2549804.5372,SMH4028767,51.43,47.83,3.6,1,0,0,1,1
12710734.938,2549834.9646,SMH4028768,48.93,45.33,3.6,1,0,0,1,1
12710718.7342,2549891.4739,SMH4028769,43.371,39.771,3.6,1,0,0,1,1
12710714.4122,2549903.4273,SMH4028770,42.08,38.4,3.68,1,0,0,1,1
12710380.8186,2550098.0763,SMH4028655,17.73,14.13,3.6,1,0,0,1,1
12710384.3784,2550098.1875,SMH4028668,17.15,13.55,3.6,1,0,0,1,1
12710356.6948,2549973.3623,SMH4028672,21.07,17.47,3.6,1,0,0,1,1
12710368.0487,2549980.9814,SMH4028673,20.62,16.98,3.64,1,0,0,1,1
12710359.9513,2549893.4382,SMH4028700,22.05,18.45,3.6,1,0,0,1,1
12710360.1357,2549888.5336,SMH4028701,21.75,18.15,3.6,1,0,0,1,1
12710358.7516,2549923.742,SMH4028705,21.66,18.06,3.6,1,0,0,1,1
12710371.582,2549304.7628,SMH4029072,44.458,40.8,3.658,1,0,0,1,1
12710000.4302,2549395.4793,SMH4028991,17.89,14.29,3.6,1,0,0,1,1
12709975.8955,2549393.719,SMH4028992,15.8,12.12,3.68,1,0,0,1,1
12709967.7552,2549403.7088,SMH4028993,13.28,9.68,3.6,1,0,0,1,1
12709961.1429,2549421.9076,SMH4028994,12.47,8.83,3.64,1,0,0,1,1
12709937.6557,2549483.9516,SMH4028995,11.35,7.75,3.6,1,0,0,1,1
12709914.3964,2549546.1475,SMH4028996,10.46,6.86,3.6,1,0,0,1,1
12709890.4059,2549609.35,SMH4028997,9.58,5.91,3.67,1,0,0,1,1
12710121.1466,2549527.3485,SMH4028999,41.84,38.24,3.6,1,0,0,1,1
12710383.2173,2549326.5635,SMH4029073,44.1,40.5,3.6,1,0,0,1,1
12710433.6088,2549364.7509,SMH4029074,44.0,39.87,4.13,1,0,0,1,1
12710470.2353,2549393.1988,SMH4029075,43.9,39.39,4.51,1,0,0,1,1
12710443.9637,2549430.4491,SMH4029076,40.97,36.74,4.23,1,0,0,1,1
12710418.5869,2549465.0127,SMH4029077,38.22,32.64,5.58,1,0,0,1,1
12710392.0433,2549497.7377,SMH4029078,35.24,31.64,3.6,1,0,0,1,1
12710337.9993,2549494.3114,SMH4029079,34.96,31.36,3.6,1,0,0,1,1
12710785.722,2549880.604,SMH4028780,48.69,45.09,3.6,1,0,0,1,1
12710726.2961,2549865.3927,SMH4028781,46.3,42.7,3.6,1,0,0,1,1
12710813.8147,2549889.2968,SMH4028783,49.36,45.76,3.6,1,0,0,1,1
12710452.495,2550075.6244,SMH4028665,20.94,17.31,3.63,1,0,0,1,1
12710426.8393,2550119.0795,SMH4028667,18.07,14.46,3.61,1,0,0,1,1
12710427.1342,2550107.3097,SMH4028669,20.96,17.36,3.6,1,0,0,1,1
